Strain	Original_name	Group	Version	Status	Genome number	ShortTaxName	Locus tag	File name	Locus tag (Strain)	File name (Strain)	Locus tag (Strain no underscore)	Taxonomy_rp15	Taxonomy_GtoTree	Accession	Alternative Names	arCOG Taxonomy	CheckM Completeness v1,2,1	CheckM Contamination v1,2,1	Genome_quality	Genome_quality_score	GTDB-Tk v1.5.1 Classsification	GTDB-Tk v1.3.0 Classification		OriginLab	Date_added	Complete_genome	Notes
HM1_B8_5	HM1_B8_5	00_published	v01		00502	Thor	Thor_00502	Thor_00502_GCA_018238935	Thor_HM1_B8_5	Thor_HM1_B8_5_p	Thor__HM1_B8_5_	Thor	Thor	GCA_018238935_1_ASM1823893v1		Thorarchaeota	91,52	9,79	medium_quality	42,57	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM3_B14	HM3_B14	00_published	v01		00503	Thor	Thor_00503	Thor_00503_GCA_018238925	Thor_HM3_B14	Thor_HM3_B14_p	Thor__HM3_B14_	Thor	Thor	GCA_018238925_1_ASM1823892v1		Thorarchaeota	78,97	3,04	medium_quality	63,77	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_10_B12	HM4_10_B12	00_published	v01		00332	Loki	Loki_00332	Loki_00332_GCA_018238845	Loki_HM4_10_B12	Loki_HM4_10_B12_p	Loki__HM4_10_B12_	Loki	Loki	GCA_018238845_1_ASM1823884v1		Lokiarchaeota	64,26	2,8	medium_quality	50,26	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_18_B12	HM4_18_B12	00_published	v01		00062	HeHe	HeHe_00062	HeHe_00062_GCA_018238885	HeHe_HM4_18_B12	HeHe_HM4_18_B12_p	HeHe__HM4_18_B12_		HeHeimdall	GCA_018238885_1_ASM1823888v1		Heimdallarchaeia	79,76	1,87	medium_quality	70,41	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM4_18_B25	HM4_18_B25	00_published	v01		00504	Thor	Thor_00504	Thor_00504_GCA_018238865	Thor_HM4_18_B25	Thor_HM4_18_B25_p	Thor__HM4_18_B25_	Thor	Thor	GCA_018238865_1_ASM1823886v1		Thorarchaeota	69,59	1,4	medium_quality	62,59	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_2_PB6	HM4_2_PB6	00_published	v01		00333	Loki	Loki_00333	Loki_00333_GCA_018238895	Loki_HM4_2_PB6	Loki_HM4_2_PB6_p	Loki__HM4_2_PB6_	Loki	Loki	GCA_018238895_1_ASM1823889v1		Lokiarchaeota	82,33	9,96	medium_quality	32,53	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_26_B25	HM4_26_B25	00_published	v01		00505	Thor	Thor_00505	Thor_00505_GCA_018238825	Thor_HM4_26_B25	Thor_HM4_26_B25_p	Thor__HM4_26_B25_	Thor	Thor	GCA_018238825_1_ASM1823882v1		Thorarchaeota	92,06	4,21	high_quality	71,01	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM4_26_B6	HM4_26_B6	00_published	v01		00063	HeHe	HeHe_00063	HeHe_00063_GCA_018238805	HeHe_HM4_26_B6	HeHe_HM4_26_B6_p	HeHe__HM4_26_B6_	HeHeimdall	HeHeimdall	GCA_018238805_1_ASM1823880v1		Heimdallarchaeia	88,79	5,14	medium_quality	63,09	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM4_B10	HM4_B10	00_published	v01		00506	Thor	Thor_00506	Thor_00506_GCA_018238755	Thor_HM4_B10	Thor_HM4_B10_p	Thor__HM4_B10_	Thor	Thor	GCA_018238755_1_ASM1823875v1		Thorarchaeota	78,46	1,87	medium_quality	69,11	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_B11	HM4_B11	00_published	v01		00334	Loki	Loki_00334	Loki_00334_GCA_018238745	Loki_HM4_B11	Loki_HM4_B11_p	Loki__HM4_B11_	Loki	Loki	GCA_018238745_1_ASM1823874v1		Lokiarchaeota	91,12	3,27	high_quality	74,77	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_B14	HM4_B14	00_published	v01		00507	Thor	Thor_00507	Thor_00507_GCA_018238765	Thor_HM4_B14	Thor_HM4_B14_p	Thor__HM4_B14_	Thor	Thor	GCA_018238765_1_ASM1823876v1		Thorarchaeota	71,81	6,54	medium_quality	39,11	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM4_B16	HM4_B16	00_published	v01		00335	Loki	Loki_00335	Loki_00335_GCA_018238725	Loki_HM4_B16	Loki_HM4_B16_p	Loki__HM4_B16_	Loki	Loki	GCA_018238725_1_ASM1823872v1		Lokiarchaeota	89,25	5,68	medium_quality	60,85	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_B17	HM4_B17	00_published	v01		00336	Loki	Loki_00336	Loki_00336_GCA_018238705	Loki_HM4_B17	Loki_HM4_B17_p	Loki__HM4_B17_		Loki	GCA_018238705_1_ASM1823870v1		Lokiarchaeota	70,48	3,65	medium_quality	52,23	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_B18	HM4_B18	00_published	v01		00508	Thor	Thor_00508	Thor_00508_GCA_018238665	Thor_HM4_B18	Thor_HM4_B18_p	Thor__HM4_B18_	Thor	Thor	GCA_018238665_1_ASM1823866v1		Thorarchaeota	79,83	4,21	medium_quality	58,78	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM4_B2_	HM4_B2_	00_published	v01		00509	Thor	Thor_00509	Thor_00509_GCA_018238685	Thor_HM4_B2_	Thor_HM4_B2__p	Thor__HM4_B2__	Thor	Thor	GCA_018238685_1_ASM1823868v1		Thorarchaeota	82,24	3,12	medium_quality	66,64	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM4_B22	HM4_B22	00_published	v01		00337	Loki	Loki_00337	Loki_00337_GCA_018238625	Loki_HM4_B22	Loki_HM4_B22_p	Loki__HM4_B22_	Loki	Loki	GCA_018238625_1_ASM1823862v1		Lokiarchaeota	89,72	3,27	medium_quality	73,37	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_B27	HM4_B27	00_published	v01		00064	HeHe	HeHe_00064	HeHe_00064_GCA_018238645	HeHe_HM4_B27	HeHe_HM4_B27_p	HeHe__HM4_B27_		HeHeimdall	GCA_018238645_1_ASM1823864v1		Heimdallarchaeia	88,79	6,07	medium_quality	58,44	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM4_B3	HM4_B3	00_published	v01		00065	HeHe	HeHe_00065	HeHe_00065_GCA_018238585	HeHe_HM4_B3	HeHe_HM4_B3_p	HeHe__HM4_B3_	HeHeimdall	HeHeimdall	GCA_018238585_1_ASM1823858v1		Heimdallarchaeia	93,46	3,74	high_quality	74,76	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM4_B40	HM4_B40	00_published	v01		00510	Thor	Thor_00510	Thor_00510_GCA_018238575	Thor_HM4_B40	Thor_HM4_B40_p	Thor__HM4_B40_	Thor	Thor	GCA_018238575_1_ASM1823857v1		Thorarchaeota	82,94	1,71	medium_quality	74,39	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_B41	HM4_B41	00_published	v01		00066	HeHe	HeHe_00066	HeHe_00066_GCA_018238545	HeHe_HM4_B41	HeHe_HM4_B41_p	HeHe__HM4_B41_	HeHeimdall	HeHeimdall	GCA_018238545_1_ASM1823854v1		Heimdallarchaeia	94,39	4,21	high_quality	73,34	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM4_B43	HM4_B43	00_published	v01		00338	Loki	Loki_00338	Loki_00338_GCA_018238565	Loki_HM4_B43	Loki_HM4_B43_p	Loki__HM4_B43_	Loki	Loki	GCA_018238565_1_ASM1823856v1		Lokiarchaeota	69,96	8,88	medium_quality	25,56	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM4_B45	HM4_B45	00_published	v01		00511	Thor	Thor_00511	Thor_00511_GCA_018238525	Thor_HM4_B45	Thor_HM4_B45_p	Thor__HM4_B45_	Thor	Thor	GCA_018238525_1_ASM1823852v1		Thorarchaeota	87,31	3,27	medium_quality	70,96	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_B48	HM4_B48	00_published	v01		00339	Loki	Loki_00339	Loki_00339_GCA_018238455	Loki_HM4_B48	Loki_HM4_B48_p	Loki__HM4_B48_	Loki	Loki	GCA_018238455_1_ASM1823845v1		Lokiarchaeota	61,95	6,54	medium_quality	29,25	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		published	2022/07/06		
HM4_B64	HM4_B64	00_published	v01		00340	Loki	Loki_00340	Loki_00340_GCA_018238505	Loki_HM4_B64	Loki_HM4_B64_p	Loki__HM4_B64_	Loki	Loki	GCA_018238505_1_ASM1823850v1		Lokiarchaeota	77,46	9,35	medium_quality	30,71	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		published	2022/07/06		
HM4_B8	HM4_B8	00_published	v01		00512	Thor	Thor_00512	Thor_00512_GCA_018238465	Thor_HM4_B8	Thor_HM4_B8_p	Thor__HM4_B8_	Thor	Thor	GCA_018238465_1_ASM1823846v1		Thorarchaeota	66,47	0,93	medium_quality	61,82	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_B91	HM4_B91	00_published	v01		00513	Thor	Thor_00513	Thor_00513_GCA_018238445	Thor_HM4_B91	Thor_HM4_B91_p	Thor__HM4_B91_	Thor	Thor	GCA_018238445_1_ASM1823844v1		Thorarchaeota	93,93	4,21	high_quality	72,88	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_FB6	HM4_FB6	00_published	v01		00514	Thor	Thor_00514	Thor_00514_GCA_018238375	Thor_HM4_FB6	Thor_HM4_FB6_p	Thor__HM4_FB6_	Thor	Thor	GCA_018238375_1_ASM1823837v1		Thorarchaeota	92,06	3,27	high_quality	75,71	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM4_TB25	HM4_TB25	00_published	v01		00341	Loki	Loki_00341	Loki_00341_GCA_018238425	Loki_HM4_TB25	Loki_HM4_TB25_p	Loki__HM4_TB25_	Loki	Loki	GCA_018238425_1_ASM1823842v1		Lokiarchaeota	62,72	5,45	medium_quality	35,47	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM5_B17	HM5_B17	00_published	v01		00342	Loki	Loki_00342	Loki_00342_GCA_018238405	Loki_HM5_B17	Loki_HM5_B17_p	Loki__HM5_B17_		Loki	GCA_018238405_1_ASM1823840v1		Lokiarchaeota	65,73	7,51	medium_quality	28,18	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		published	2022/07/06		
HM5_B40	HM5_B40	00_published	v01		00515	Thor	Thor_00515	Thor_00515_GCA_018238365	Thor_HM5_B40	Thor_HM5_B40_p	Thor__HM5_B40_	Thor	Thor	GCA_018238365_1_ASM1823836v1		Thorarchaeota	65,2	0	medium_quality	65,2	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM5_B45	HM5_B45	00_published	v01		00343	Loki	Loki_00343	Loki_00343_GCA_018238345	Loki_HM5_B45	Loki_HM5_B45_p	Loki__HM5_B45_	Loki	Loki	GCA_018238345_1_ASM1823834v1		Lokiarchaeota	86,92	3,74	medium_quality	68,22	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM5_B52	HM5_B52	00_published	v01		00344	Loki	Loki_00344	Loki_00344_GCA_018238305	Loki_HM5_B52	Loki_HM5_B52_p	Loki__HM5_B52_	Loki	Loki	GCA_018238305_1_ASM1823830v1		Lokiarchaeota	91,59	6,23	medium_quality	60,44	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM5_B55	HM5_B55	00_published	v01		00345	Loki	Loki_00345	Loki_00345_GCA_018238315	Loki_HM5_B55	Loki_HM5_B55_p	Loki__HM5_B55_		Loki	GCA_018238315_1_ASM1823831v1		Lokiarchaeota	67,68	9,81	medium_quality	18,63	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		published	2022/07/06		
HM5_B58	HM5_B58	00_published	v01		00516	Thor	Thor_00516	Thor_00516_GCA_018238265	Thor_HM5_B58	Thor_HM5_B58_p	Thor__HM5_B58_	Thor	Thor	GCA_018238265_1_ASM1823826v1		Thorarchaeota	91,12	9,96	medium_quality	41,32	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM6_B1	HM6_B1	00_published	v01		00067	HeHe	HeHe_00067	HeHe_00067_GCA_018238245	HeHe_HM6_B1	HeHe_HM6_B1_p	HeHe__HM6_B1_	HeHeimdall	HeHeimdall	GCA_018238245_1_ASM1823824v1		Heimdallarchaeia	81,31	5,57	medium_quality	53,46	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM6_B26	HM6_B26	00_published	v01		00517	Thor	Thor_00517	Thor_00517_GCA_018238285	Thor_HM6_B26	Thor_HM6_B26_p	Thor__HM6_B26_	Thor	Thor	GCA_018238285_1_ASM1823828v1		Thorarchaeota	88,79	4,82	medium_quality	64,69	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM6_B27	HM6_B27	00_published	v01		00518	Thor	Thor_00518	Thor_00518_GCA_018238215	Thor_HM6_B27	Thor_HM6_B27_p	Thor__HM6_B27_	Thor	Thor	GCA_018238215_1_ASM1823821v1		Thorarchaeota	93,93	6,54	medium_quality	61,23	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__WTCK01;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
HM6_B33	HM6_B33	00_published	v01		00519	Thor	Thor_00519	Thor_00519_GCA_018238185	Thor_HM6_B33	Thor_HM6_B33_p	Thor__HM6_B33_		Thor	GCA_018238185_1_ASM1823818v1		Thorarchaeota	86,92	4,21	medium_quality	65,87	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM6_B34	HM6_B34	00_published	v01		00520	Thor	Thor_00520	Thor_00520_GCA_018238205	Thor_HM6_B34	Thor_HM6_B34_p	Thor__HM6_B34_	Thor	Thor	GCA_018238205_1_ASM1823820v1		Thorarchaeota	94,86	4,74	high_quality	71,16	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		published	2022/07/06		
HM6_B48	HM6_B48	00_published	v01		00068	HeHe	HeHe_00068	HeHe_00068_GCA_018238095	HeHe_HM6_B48	HeHe_HM6_B48_p	HeHe__HM6_B48_	HeHeimdall	HeHeimdall	GCA_018238095_1_ASM1823809v1		Heimdallarchaeia	85,98	6,46	medium_quality	53,68	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		published	2022/07/06		
HM6_B6	HM6_B6	00_published	v01		00346	Loki	Loki_00346	Loki_00346_GCA_018238145	Loki_HM6_B6	Loki_HM6_B6_p	Loki__HM6_B6_	Loki	Loki	GCA_018238145_1_ASM1823814v1		Lokiarchaeota	79,92	5,68	medium_quality	51,52	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/07/06		
HM7_B23_022	HM7_B23_022	00_published	v01		00026	HeGe	HeGe_00026	HeGe_00026_GCA_018238125	HeGe_HM7_B23_022	HeGe_HM7_B23_022_p	HeGe__HM7_B23_022_	HeGerd	HeGerd	GCA_018238125_1_ASM1823812v1		Gerdarchaeia	65,19	5,61	medium_quality	37,14	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/07/06		
HM7_B34	HM7_B34	00_published	v01		00027	HeGe	HeGe_00027	HeGe_00027_GCA_018238155	HeGe_HM7_B34	HeGe_HM7_B34_p	HeGe__HM7_B34_	HeGerd	HeGerd	GCA_018238155_1_ASM1823815v1		Gerdarchaeia	94,39	7,94	medium_quality	54,69	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/07/06		
HM7_B8_011	HM7_B8_011	00_published	v01		00028	HeGe	HeGe_00028	HeGe_00028_GCA_018238085	HeGe_HM7_B8_011	HeGe_HM7_B8_011_p	HeGe__HM7_B8_011_	HeGerd	HeGerd	GCA_018238085_1_ASM1823808v1		Gerdarchaeia	66,31	6,54	medium_quality	33,61	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		published	2022/07/06		
J65_bin.29	J65_bin.29	00_published	v01		00451	Odin	Odin_00451	Odin_00451_GCA_016839265	Odin_J65_bin_29	Odin_J65_bin_29_p	Odin__J65_bin29_	Odin	Odin	GCA_016839265_1_ASM1683926v1		Odinarchaeota	95,95	2,34	high_quality	84,25	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia_A;o__Odinarchaeales;f__LCB-4;g__LCB-4;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Odinarchaeales;f__LCB-4;g__LCB-4;s__		published	2022/07/06		
JZ_bin_50	JZ_bin_50	01_unpublished_bakerlab	v01		00245	Jord	Jord_00245	Jord_00245	Jord_JZ_bin_50	Jord_JZ_bin_50	Jord__JZ_bin_50_	Jord	Jord		Freyarchaeote_JZB50	Freyarchaeota	98,13	2,8	high_quality	84,13	d__Archaea;p__Asgardarchaeota;c__DTBI01;o__DTBI01;f__DTBI01;g__DTBI01;s__DTBI01 sp011364305	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__		bakerlab	2022/07/06		
L.E.AR.5	L.E.AR.5	00_published	v01		00521	Thor	Thor_00521	Thor_00521_GCA_013388835	Thor_L_E_AR_5	Thor_L_E_AR_5_p	Thor__LEAR5_	Thor	Thor	GCA_013388835_1_ASM1338883v1		Thorarchaeota	94,39	3,74	high_quality	75,69	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__JACAEL01;s__JACAEL01 sp013388835	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		published	2022/07/06		
LC_2	LC_2	00_published	v01		00183	HeKa	HeKa_00183	HeKa_00183_GCA_001940725	HeKa_LC_2	HeKa_LC_2_p	HeKa__LC_2_	HeKari	HeKari	GCA_001940725_1_ASM194072v1		Heimdallarchaeia	72,43	4,21	medium_quality	51,38	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__LC-2;s__LC-2 sp001940725	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__LC-2;s__LC-2 sp001940725		published	2022/07/06		
LC_3	LC_3	00_published	v01		00103	HeHo	HeHo_00103	HeHo_00103_GCA_001940645	HeHo_LC_3	HeHo_LC_3_p	HeHo__LC_3_	HeHod	HeHod	GCA_001940645_1_ASM194064v1		Skadiarchaeia	91,59	5,61	medium_quality	63,54	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__LC-3;g__LC-3;s__LC-3 sp001940645	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__LC-3;g__LC-3;s__LC-3 sp001940645		published	2022/07/06		
LC20	LC20	00_published	v01		00006	Atab	Atab_00006	Atab_00006_GCA_019058575	Atab_LC20	Atab_LC20_p	Atab__LC20_	Atabey	Atabey	GCA_019058575_1_ASM1905857v1		ALCG	83,64	2,34	medium_quality	71,94	d__Archaea;p__Asgardarchaeota;c__DTBI01;o__DTBI01;f__;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__;f__;g__;s__		published	2022/07/06		
